Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 15:06:15,2018-07-24 15:07:02,46.725s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 15:06:16,2018-07-24 15:07:01,45.777s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:06:16,2018-07-24 15:06:40,23.756s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:06:40,2018-07-24 15:06:40,0.704s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:06:40,2018-07-24 15:07:01,21.025s,FAILED
