Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 16:22:42,2018-07-24 16:23:39,56.694s,FAILED
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 16:22:42,2018-07-24 16:23:15,32.390s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:22:43,2018-07-24 16:23:07,23.816s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:23:07,2018-07-24 16:23:11,4.549s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:23:11,2018-07-24 16:23:11,0.147s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:23:11,2018-07-24 16:23:11,0.086s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:11,2018-07-24 16:23:15,3.462s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.277s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.032s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.021s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:15,0.019s,PASSED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:38,23.106s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:15,2018-07-24 16:23:17,1.526s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:17,2018-07-24 16:23:17,0.555s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:17,2018-07-24 16:23:38,20.866s,FAILED
