Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 17:48:39,2018-07-24 17:49:26,46.838s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 17:48:40,2018-07-24 17:49:26,45.928s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:48:40,2018-07-24 17:49:04,23.756s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:49:04,2018-07-24 17:49:04,0.764s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:49:04,2018-07-24 17:49:26,21.121s,FAILED
