Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 15:26:25,2018-07-24 15:26:59,34.597s,PASSED
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 15:26:25,2018-07-24 15:26:58,33.344s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:26:25,2018-07-24 15:26:49,23.812s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:26:49,2018-07-24 15:26:54,4.773s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:26:54,2018-07-24 15:26:54,0.153s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:26:54,2018-07-24 15:26:54,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:54,2018-07-24 15:26:58,4.180s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 15:26:58,2018-07-24 15:26:59,0.923s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.032s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.021s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.019s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:26:59,2018-07-24 15:26:59,0.611s,PASSED
