Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Firefox 51.0,,2018-07-24 13:03:57,2018-07-24 13:06:04,2m - 7.190s,PASSED
,,,,,,
Test Cases/login/test1,Firefox 51.0,abcd,2018-07-24 13:03:57,2018-07-24 13:04:57,59.999s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 13:03:57,2018-07-24 13:04:26,28.250s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 13:04:26,2018-07-24 13:04:26,0.892s,PASSED
click,Firefox 51.0,,2018-07-24 13:04:26,2018-07-24 13:04:27,0.726s,PASSED
setText,Firefox 51.0,,2018-07-24 13:04:27,2018-07-24 13:04:27,0.121s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 13:04:27,2018-07-24 13:04:27,0.248s,PASSED
click,Firefox 51.0,,2018-07-24 13:04:27,2018-07-24 13:04:29,1.142s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 13:04:29,2018-07-24 13:04:57,28.114s,PASSED
closeBrowser,Firefox 51.0,,2018-07-24 13:04:57,2018-07-24 13:04:57,0.211s,PASSED
,,,,,,
Test Cases/login/test2,Firefox 51.0,,2018-07-24 13:04:57,2018-07-24 13:06:04,1m - 6.669s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 13:04:57,2018-07-24 13:05:25,27.417s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 13:05:25,2018-07-24 13:05:26,1.185s,PASSED
verifyTextPresent,Firefox 51.0,,2018-07-24 13:05:26,2018-07-24 13:05:26,0.202s,PASSED
click,Firefox 51.0,,2018-07-24 13:05:26,2018-07-24 13:05:27,0.574s,PASSED
setText,Firefox 51.0,,2018-07-24 13:05:27,2018-07-24 13:05:27,0.114s,PASSED
setText,Firefox 51.0,,2018-07-24 13:05:27,2018-07-24 13:05:27,0.130s,PASSED
click,Firefox 51.0,,2018-07-24 13:05:27,2018-07-24 13:05:28,1.035s,PASSED
closeBrowser,Firefox 51.0,,2018-07-24 13:05:28,2018-07-24 13:05:28,0.189s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 13:05:28,2018-07-24 13:05:57,28.535s,PASSED
refresh,Firefox 51.0,,2018-07-24 13:05:57,2018-07-24 13:06:04,7.051s,PASSED
