Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 15:04:35,2018-07-24 15:06:14,1m - 39.131s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 15:04:35,2018-07-24 15:05:22,46.461s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:36,2018-07-24 15:05:00,24.168s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:05:00,2018-07-24 15:05:00,0.642s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:05:00,2018-07-24 15:05:22,21.113s,FAILED
,,,,,,
Test Cases/login/test2,Chrome 67.0.3396.99,,2018-07-24 15:05:22,2018-07-24 15:06:13,51.576s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:22,2018-07-24 15:05:46,23.875s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:05:46,2018-07-24 15:05:46,0.746s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-24 15:05:46,2018-07-24 15:05:47,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:05:47,2018-07-24 15:05:47,0.549s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:05:47,2018-07-24 15:05:47,0.134s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:05:47,2018-07-24 15:05:47,0.126s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:05:47,2018-07-24 15:05:48,1.121s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:48,2018-07-24 15:05:49,0.645s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:49,2018-07-24 15:06:13,23.698s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 15:06:13,2018-07-24 15:06:13,0.357s,PASSED
