Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testuit1,Chrome 67.0.3396.99,,2018-07-25 11:02:47,2018-07-25 11:03:22,34.663s,PASSED
,,,,,,
Test Cases/Day2/test2,Chrome 67.0.3396.99,,2018-07-25 11:02:47,2018-07-25 11:03:22,34.231s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:02:48,2018-07-25 11:03:12,24.253s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:03:12,2018-07-25 11:03:17,4.570s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:03:17,2018-07-25 11:03:17,0.122s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:03:17,2018-07-25 11:03:17,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:03:17,2018-07-25 11:03:17,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:03:17,2018-07-25 11:03:21,4.032s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:03:21,2018-07-25 11:03:22,0.659s,PASSED
