Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit3,Chrome 67.0.3396.99,,2018-07-25 12:18:42,2018-07-25 12:19:12,30.285s,FAILED
,,,,,,
Test Cases/Day2/test3,Chrome 67.0.3396.99,,2018-07-25 12:18:42,2018-07-25 12:19:11,29.287s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 12:18:42,2018-07-25 12:19:06,23.779s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 12:19:06,2018-07-25 12:19:11,4.846s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 12:19:11,2018-07-25 12:19:11,0.368s,FAILED
