Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testuit1,Chrome 67.0.3396.99,,2018-07-25 11:00:55,2018-07-25 11:01:30,35.450s,PASSED
,,,,,,
Test Cases/Day2/test2,Chrome 67.0.3396.99,,2018-07-25 11:00:55,2018-07-25 11:01:30,35.002s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:00:56,2018-07-25 11:01:20,23.997s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:01:20,2018-07-25 11:01:25,5.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:25,0.102s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:25,0.095s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:25,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:30,4.184s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:01:30,2018-07-25 11:01:30,0.851s,PASSED
