Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 17:46:56,2018-07-24 17:48:38,1m - 41.502s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 17:46:57,2018-07-24 17:47:46,48.927s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:46:57,2018-07-24 17:47:21,23.785s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:47:21,2018-07-24 17:47:24,3.734s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:47:24,2018-07-24 17:47:46,21.138s,FAILED
,,,,,,
Test Cases/login/test2,Chrome 67.0.3396.99,,2018-07-24 17:47:46,2018-07-24 17:48:37,51.616s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:47:46,2018-07-24 17:48:10,23.968s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:48:10,2018-07-24 17:48:10,0.839s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-24 17:48:10,2018-07-24 17:48:11,0.068s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:48:11,2018-07-24 17:48:11,0.563s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:48:11,2018-07-24 17:48:11,0.125s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:48:11,2018-07-24 17:48:11,0.115s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:48:11,2018-07-24 17:48:13,1.150s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:48:13,2018-07-24 17:48:13,0.663s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:48:13,2018-07-24 17:48:37,23.634s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 17:48:37,2018-07-24 17:48:37,0.340s,PASSED
