Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Chrome 67.0.3396.99,,2018-07-24 13:14:51,2018-07-24 13:16:35,1m - 43.914s,FAILED
,,,,,,
Test Cases/login/test1,Chrome 67.0.3396.99,abcd,2018-07-24 13:14:52,2018-07-24 13:15:44,52.534s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:14:52,2018-07-24 13:15:14,22.194s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:15:14,2018-07-24 13:15:15,0.781s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:15:15,2018-07-24 13:15:44,29.287s,FAILED
,,,,,,
Test Cases/login/test2,Chrome 67.0.3396.99,,2018-07-24 13:15:44,2018-07-24 13:16:35,50.450s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:15:44,2018-07-24 13:16:07,22.626s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:16:07,2018-07-24 13:16:08,1.187s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-24 13:16:08,2018-07-24 13:16:08,0.089s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:16:08,2018-07-24 13:16:09,0.804s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:16:09,2018-07-24 13:16:09,0.160s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:16:09,2018-07-24 13:16:09,0.126s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:16:09,2018-07-24 13:16:11,1.140s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:16:11,2018-07-24 13:16:11,0.623s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:16:11,2018-07-24 13:16:34,22.974s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 13:16:34,2018-07-24 13:16:35,0.503s,PASSED
