Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuit1,Firefox 51.0,,2018-07-24 15:04:35,2018-07-24 15:06:43,2m - 7.897s,FAILED
,,,,,,
Test Cases/login/test1,Firefox 51.0,abcd,2018-07-24 15:04:35,2018-07-24 15:05:30,54.097s,FAILED
openBrowser,Firefox 51.0,,2018-07-24 15:04:36,2018-07-24 15:05:07,30.841s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:05:07,2018-07-24 15:05:08,0.964s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:08,2018-07-24 15:05:30,21.805s,FAILED
,,,,,,
Test Cases/login/test2,Firefox 51.0,,2018-07-24 15:05:30,2018-07-24 15:06:43,1m - 13.107s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 15:05:30,2018-07-24 15:05:58,28.444s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:05:58,2018-07-24 15:05:59,0.924s,PASSED
verifyTextPresent,Firefox 51.0,,2018-07-24 15:05:59,2018-07-24 15:05:59,0.239s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:59,2018-07-24 15:06:00,0.609s,PASSED
setText,Firefox 51.0,,2018-07-24 15:06:00,2018-07-24 15:06:00,0.126s,PASSED
setText,Firefox 51.0,,2018-07-24 15:06:00,2018-07-24 15:06:00,0.093s,PASSED
click,Firefox 51.0,,2018-07-24 15:06:00,2018-07-24 15:06:01,1.222s,PASSED
closeBrowser,Firefox 51.0,,2018-07-24 15:06:01,2018-07-24 15:06:02,0.207s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 15:06:02,2018-07-24 15:06:31,29.033s,PASSED
refresh,Firefox 51.0,,2018-07-24 15:06:31,2018-07-24 15:06:43,12.008s,PASSED
