Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 16:30:55,2018-07-24 16:31:36,41.289s,ERROR
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 16:30:55,2018-07-24 16:31:27,31.466s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:30:55,2018-07-24 16:31:19,23.780s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:31:19,2018-07-24 16:31:24,4.719s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:31:24,2018-07-24 16:31:24,0.143s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:31:24,2018-07-24 16:31:24,0.087s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:24,2018-07-24 16:31:27,2.450s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.296s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.033s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.023s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.025s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:27,0.018s,PASSED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:35,8.520s,ERROR
click,Chrome 67.0.3396.99,,2018-07-24 16:31:27,2018-07-24 16:31:29,1.736s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:29,2018-07-24 16:31:29,0.541s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:29,2018-07-24 16:31:31,1.577s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:31,2018-07-24 16:31:31,0.094s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 16:31:31,2018-07-24 16:31:32,1.211s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 16:31:32,2018-07-24 16:31:32,0.135s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:32,2018-07-24 16:31:34,1.230s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:34,2018-07-24 16:31:34,0.883s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:31:34,2018-07-24 16:31:35,0.933s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-24 16:31:35,2018-07-24 16:31:35,0.010s,PASSED
