Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 16:35:20,2018-07-24 16:36:01,41.146s,ERROR
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 16:35:20,2018-07-24 16:35:52,31.459s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:35:20,2018-07-24 16:35:44,23.751s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:35:44,2018-07-24 16:35:49,4.872s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:35:49,2018-07-24 16:35:49,0.153s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:35:49,2018-07-24 16:35:49,0.086s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:49,2018-07-24 16:35:52,2.276s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.288s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.040s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:52,0.021s,PASSED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:36:00,8.385s,ERROR
click,Chrome 67.0.3396.99,,2018-07-24 16:35:52,2018-07-24 16:35:54,1.580s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:54,2018-07-24 16:35:54,0.638s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:54,2018-07-24 16:35:56,1.458s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:56,2018-07-24 16:35:56,0.102s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 16:35:56,2018-07-24 16:35:57,1.157s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 16:35:57,2018-07-24 16:35:57,0.132s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:57,2018-07-24 16:35:58,1.335s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:58,2018-07-24 16:35:59,0.863s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:59,2018-07-24 16:36:00,0.915s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-24 16:36:00,2018-07-24 16:36:00,0.010s,PASSED
