Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange,Chrome 67.0.3396.99,,2018-07-24 17:12:33,2018-07-24 17:13:18,45.157s,PASSED
,,,,,,
Test Cases/Login1/login,Chrome 67.0.3396.99,,2018-07-24 17:12:33,2018-07-24 17:13:04,31.536s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:12:33,2018-07-24 17:12:57,23.817s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:12:57,2018-07-24 17:13:02,4.883s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:13:02,2018-07-24 17:13:02,0.137s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:13:02,2018-07-24 17:13:02,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:02,2018-07-24 17:13:04,2.327s,PASSED
,,,,,,
Test Cases/ValidateLinks/validateLinks,Chrome 67.0.3396.99,,2018-07-24 17:13:04,2018-07-24 17:13:05,0.278s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:05,0.035s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:05,0.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:05,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:05,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:05,0.019s,PASSED
,,,,,,
Test Cases/Role Change/change Role,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:17,12.376s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:05,2018-07-24 17:13:06,1.577s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:06,2018-07-24 17:13:07,0.573s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:07,2018-07-24 17:13:09,1.498s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:09,2018-07-24 17:13:09,0.082s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 17:13:09,2018-07-24 17:13:10,1.171s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 17:13:10,2018-07-24 17:13:10,0.132s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:10,2018-07-24 17:13:11,1.299s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:11,2018-07-24 17:13:12,0.908s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:12,2018-07-24 17:13:13,0.937s,PASSED
verifyOptionSelectedByValue,Chrome 67.0.3396.99,,2018-07-24 17:13:13,2018-07-24 17:13:17,3.960s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:13:17,2018-07-24 17:13:17,0.071s,PASSED
