Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testuit1,Chrome 67.0.3396.99,,2018-07-25 11:00:54,2018-07-25 11:01:30,35.611s,PASSED
,,,,,,
Test Cases/Day2/test2,Chrome 67.0.3396.99,,2018-07-25 11:00:55,2018-07-25 11:01:30,35.182s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:00:55,2018-07-25 11:01:19,24.373s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:01:19,2018-07-25 11:01:24,4.855s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:01:24,2018-07-25 11:01:24,0.110s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:01:24,2018-07-25 11:01:25,0.102s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:25,0.086s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:01:25,2018-07-25 11:01:29,4.344s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:01:29,2018-07-25 11:01:30,0.914s,PASSED
